# tau [ps];  MSD [pm^2];  Derivative
0.780000; 240651.872301; 84955.605578
0.790000; 241501.428357; 85501.777691
0.800000; 242356.446134; 87501.554280
0.810000; 243231.461676; 84192.138082
0.820000; 244073.383057; 83803.050762
0.830000; 244911.413565; 86619.450333
0.840000; 245777.608068; 86413.986970
0.850000; 246641.747938; 86298.670901
0.860000; 247504.734647; 85988.262537
0.870000; 248364.617272; 79122.457793
0.880000; 249155.841850; 78565.242433
0.890000; 249941.494275; 73804.223897
0.900000; 250679.536514; 71528.917909
0.910000; 251394.825693; 68460.555412
0.920000; 252079.431247; 66534.693295
0.930000; 252744.778180; 68622.625330
0.940000; 253431.004433; 71405.773616
0.950000; 254145.062169; 73831.794642
0.960000; 254883.380116; 77574.838284
0.970000; 255659.128498; 80193.902945
0.980000; 256461.067528; 81474.857755
0.990000; 257275.816105; 78773.875264
1.000000; 258063.554858; 78056.830758
1.010000; 258844.123166; 80649.421569
1.020000; 259650.617381; 77335.314785
1.030000; 260423.970529; 79975.591453
1.040000; 261223.726444; 81238.497492
1.050000; 262036.111419; 83172.072734
1.060000; 262867.832146; 84841.382838
1.070000; 263716.245974; 80972.486691
1.080000; 264525.970841; 81322.714697
1.090000; 265339.197988; 76976.891418
1.100000; 266108.966902; 70663.609647
1.110000; 266815.602999; 75616.602443
1.120000; 267571.769023; 75887.019157
1.130000; 268330.639215; 75728.196476
1.140000; 269087.921180; 78242.249965
1.150000; 269870.343679; 74224.796785
1.160000; 270612.591647; 69494.623669
1.170000; 271307.537884; 62724.802913
1.180000; 271934.785913; 56890.571396
1.190000; 272503.691627; 59593.745198
1.200000; 273099.629079; 56959.975452
1.210000; 273669.228833; 62536.354124
1.220000; 274294.592375; 66479.321723
1.230000; 274959.385592; 65290.744152
1.240000; 275612.293033; 64926.002805
1.250000; 276261.553061; 66700.304615
1.260000; 276928.556108; 69216.060627
1.270000; 277620.716714; 69639.800777
1.280000; 278317.114722; 70132.862087
1.290000; 279018.443343; 68140.100360
1.300000; 279699.844346; 69293.146703
1.310000; 280392.775813; 76356.434916
1.320000; 281156.340162; 79686.279000
1.330000; 281953.202952; 73857.722507
1.340000; 282691.780177; 75156.767211
1.350000; 283443.347849; 76720.414792
1.360000; 284210.551997; 76262.617563
1.370000; 284973.178173; 75761.760046
1.380000; 285730.795774; 72786.280817
1.390000; 286458.658582; 76788.330162
1.400000; 287226.541883; 79679.994864
1.410000; 288023.341832; 77975.718296
1.420000; 288803.099015; 78412.851579
1.430000; 289587.227531; 71971.293306
1.440000; 290306.940464; 69684.917183
1.450000; 291003.789636; 71670.415220
1.460000; 291720.493788; 73706.780002
1.470000; 292457.561588; 73256.001879
1.480000; 293190.121607; 75176.139557
1.490000; 293941.883002; 74387.012801
1.500000; 294685.753130; 77879.617144
1.510000; 295464.549302; 78077.743864
1.520000; 296245.326740; 72822.345821
1.530000; 296973.550198; 71736.707539
1.540000; 297690.917274; 72193.412570
1.550000; 298412.851400; 72305.872124
1.560000; 299135.910121; 70753.833548
1.570000; 299843.448456; 70392.335683
1.580000; 300547.371813; 74238.303214
1.590000; 301289.754845; 78143.027262
1.600000; 302071.185118; 73472.612324
1.610000; 302805.911241; 70754.994563
1.620000; 303513.461187; 72512.801833
1.630000; 304238.589205; 68831.825133
1.640000; 304926.907456; 68993.316400
1.650000; 305616.840620; 71571.799106
1.660000; 306332.558611; 71628.574604
1.670000; 307048.844357; 72320.707003
