# tau [ps];  MSD [pm^2];  Derivative
3.460000; 240000.305656; 17030.290148
3.470000; 240170.608558; 17038.702865
3.480000; 240340.995586; 18641.541877
3.490000; 240527.411005; 22712.495052
3.500000; 240754.535956; 21830.201092
3.510000; 240972.837967; 20729.332449
3.520000; 241180.131291; 22051.158957
3.530000; 241400.642881; 17648.841540
3.540000; 241577.131296; 15446.447589
3.550000; 241731.595772; 21167.180211
3.560000; 241943.267574; 20106.278494
3.570000; 242144.330359; 20681.709620
3.580000; 242351.147455; 21114.261217
3.590000; 242562.290067; 16696.288461
3.600000; 242729.252952; 24420.877906
3.610000; 242973.461731; 21671.811275
3.620000; 243190.179844; 24838.293315
3.630000; 243438.562777; 21756.850755
3.640000; 243656.131284; 19356.018210
3.650000; 243849.691467; 17078.415344
3.660000; 244020.475620; 17997.945864
3.670000; 244200.455079; 15125.567802
3.680000; 244351.710757; 17035.768874
3.690000; 244522.068445; 20846.167329
3.700000; 244730.530119; 21716.076263
3.710000; 244947.690881; 22350.489623
3.720000; 245171.195778; 18940.190881
3.730000; 245360.597686; 16973.811436
3.740000; 245530.335801; 17156.106690
3.750000; 245701.896868; 15859.898573
3.760000; 245860.495853; 11236.538749
3.770000; 245972.861241; 12496.359197
3.780000; 246097.824833; 11789.811472
3.790000; 246215.722948; 15966.534587
3.800000; 246375.388293; 22184.645169
3.810000; 246597.234745; 18631.696622
3.820000; 246783.551711; 19976.348523
3.830000; 246983.315197; 17227.761176
3.840000; 247155.592808; 14169.783920
3.850000; 247297.290648; 18491.901398
3.860000; 247482.209662; 19128.589778
3.870000; 247673.495559; 23337.305250
3.880000; 247906.868612; 20905.202093
3.890000; 248115.920633; 23374.381316
3.900000; 248349.664446; 27447.291821
3.910000; 248624.137364; 22097.202817
3.920000; 248845.109392; 23550.456758
3.930000; 249080.613960; 23689.023882
3.940000; 249317.504199; 20871.087814
3.950000; 249526.215077; 17281.882524
3.960000; 249699.033902; 18986.554674
3.970000; 249888.899449; 20897.852884
3.980000; 250097.877978; 24301.239568
3.990000; 250340.890373; 19582.612508
4.000000; 250536.716498; 19487.434408
4.010000; 250731.590842; 20428.461601
4.020000; 250935.875458; 19184.492074
4.030000; 251127.720379; 19265.603566
4.040000; 251320.376415; 28739.597806
4.050000; 251607.772393; 30423.392640
4.060000; 251912.006319; 28684.886905
4.070000; 252198.855188; 28557.021648
4.080000; 252484.425405; 24775.711269
4.090000; 252732.182518; 20581.749725
4.100000; 252938.000015; 16455.558215
4.110000; 253102.555597; 16123.448444
4.120000; 253263.790081; 19563.780134
4.130000; 253459.427883; 18815.879861
4.140000; 253647.586681; 19206.488477
4.150000; 253839.651566; 24918.308762
4.160000; 254088.834654; 29262.113810
4.170000; 254381.455792; 26431.353702
4.180000; 254645.769329; 23225.304762
4.190000; 254878.022376; 22355.334137
4.200000; 255101.575718; 21122.616083
4.210000; 255312.801879; 26459.191850
4.220000; 255577.393797; 24780.342970
4.230000; 255825.197227; 21909.399646
4.240000; 256044.291223; 18737.656354
4.250000; 256231.667787; 14992.046805
4.260000; 256381.588255; 15398.328427
4.270000; 256535.571539; 16776.909629
4.280000; 256703.340635; 21929.950225
4.290000; 256922.640138; 20662.307233
4.300000; 257129.263210; 17072.204026
4.310000; 257299.985250; 20721.685807
4.320000; 257507.202108; 19279.764924
4.330000; 257699.999758; 20818.597772
4.340000; 257908.185735; 17961.034779
4.350000; 258087.796083; 16048.872000
4.360000; 258248.284803; 15554.363845
4.370000; 258403.828442; 18076.972009
4.380000; 258584.598162; 22273.166676
4.390000; 258807.329828; 27737.474015
4.400000; 259084.704569; 26636.808359
4.410000; 259351.072652; 24584.859990
4.420000; 259596.921252; 20125.334774
4.430000; 259798.174600; 23573.764816
4.440000; 260033.912248; 22722.230927
4.450000; 260261.134557; 21049.458350
4.460000; 260471.629141; 12977.863480
4.470000; 260601.407776; 13204.561116
4.480000; 260733.453387; 12410.156470
4.490000; 260857.554951; 9557.872830
4.500000; 260953.133680; 12832.338419
4.510000; 261081.457064; 10915.507432
4.520000; 261190.612138; 12537.285945
4.530000; 261315.984998; 7827.545770
4.540000; 261394.260455; 3537.438321
4.550000; 261429.634839; 5466.442669
4.560000; 261484.299265; 5915.014665
4.570000; 261543.449412; 11162.286012
4.580000; 261655.072272; 12774.397364
4.590000; 261782.816246; 11785.383688
4.600000; 261900.670083; 14846.740948
4.610000; 262049.137492; 20222.923490
4.620000; 262251.366727; 20805.070904
4.630000; 262459.417436; 21527.250879
4.640000; 262674.689945; 23440.655655
4.650000; 262909.096501; 25366.844092
4.660000; 263162.764942; 25202.716642
4.670000; 263414.792109; 22068.870649
4.680000; 263635.480815; 18751.306463
4.690000; 263822.993880; 18141.063757
4.700000; 264004.404517; 19163.414771
4.710000; 264196.038665; 19611.964739
4.720000; 264392.158312; 21099.746535
4.730000; 264603.155778; 14122.640041
4.740000; 264744.382178; 14183.263125
4.750000; 264886.214809; 15191.868295
4.760000; 265038.133492; 17099.854423
4.770000; 265209.132037; 19826.964152
4.780000; 265407.401678; 15760.047038
4.790000; 265565.002149; 20972.737193
4.800000; 265774.729520; 19033.101093
4.810000; 265965.060531; 20512.323115
4.820000; 266170.183763; 23723.801348
4.830000; 266407.421776; 15903.574582
4.840000; 266566.457522; 11083.884747
4.850000; 266677.296369; 8464.299915
4.860000; 266761.939368; 7281.897942
4.870000; 266834.758348; 14393.948071
4.880000; 266978.697829; 22710.828183
4.890000; 267205.806110; 20817.797049
4.900000; 267413.984081; 19725.893025
4.910000; 267611.243011; 20558.334684
4.920000; 267816.826358; 21781.585171
4.930000; 268034.642210; 19474.105491
4.940000; 268229.383265; 22798.553223
4.950000; 268457.368797; 23251.216980
4.960000; 268689.880967; 25676.764191
4.970000; 268946.648609; 22981.638117
4.980000; 269176.464990; 22539.039910
4.990000; 269401.855389; 0.000000
