# tau [ps];  MSD [pm^2];  Derivative
3.670000; 241682.658262; 20130.148726
3.680000; 241883.959749; 26936.785929
3.690000; 242153.327608; 26734.159482
3.700000; 242420.669203; 24171.853254
3.710000; 242662.387736; 21342.822091
3.720000; 242875.815957; 17546.346334
3.730000; 243051.279420; 16994.037308
3.740000; 243221.219793; 16199.404445
3.750000; 243383.213837; 23704.905372
3.760000; 243620.262891; 15071.039131
3.770000; 243770.973282; 12275.255219
3.780000; 243893.725835; 6969.674101
3.790000; 243963.422576; 10023.997302
3.800000; 244063.662549; 9633.174837
3.810000; 244159.994297; 10438.108242
3.820000; 244264.375379; 11387.592267
3.830000; 244378.251302; 14756.026909
3.840000; 244525.811571; 7768.125743
3.850000; 244603.492829; 10772.743931
3.860000; 244711.220268; 14393.985757
3.870000; 244855.160126; 12477.219866
3.880000; 244979.932324; 11713.483968
3.890000; 245097.067164; 8578.222986
3.900000; 245182.849394; 8598.700401
3.910000; 245268.836398; 11891.103856
3.920000; 245387.747436; 18166.035512
3.930000; 245569.407791; 19897.269696
3.940000; 245768.380488; 18325.522362
3.950000; 245951.635712; 18882.488674
3.960000; 246140.460599; 27593.829765
3.970000; 246416.398896; 24069.326340
3.980000; 246657.092160; 21542.804630
3.990000; 246872.520206; 22070.563001
4.000000; 247093.225836; 23067.624858
4.010000; 247323.902085; 22815.996736
4.020000; 247552.062052; 23090.965876
4.030000; 247782.971711; 26353.984766
4.040000; 248046.511558; 22475.757579
4.050000; 248271.269134; 22543.902164
4.060000; 248496.708156; 18140.971527
4.070000; 248678.117871; 18416.185577
4.080000; 248862.279727; 19581.150718
4.090000; 249058.091234; 17782.101638
4.100000; 249235.912250; 17591.789780
4.110000; 249411.830148; 21979.178063
4.120000; 249631.621929; 23909.248053
4.130000; 249870.714409; 19243.889636
4.140000; 250063.153306; 22194.822322
4.150000; 250285.101529; 18416.003386
4.160000; 250469.261563; 13095.114742
4.170000; 250600.212710; 9815.292641
4.180000; 250698.365637; 8187.753598
4.190000; 250780.243173; 12365.793517
4.200000; 250903.901108; 15471.008195
4.210000; 251058.611190; 9581.016701
4.220000; 251154.421357; 16104.297897
4.230000; 251315.464336; 19463.262881
4.240000; 251510.096965; 17559.685119
4.250000; 251685.693816; 20354.141757
4.260000; 251889.235233; 16830.663718
4.270000; 252057.541871; 14488.240855
4.280000; 252202.424279; 12270.469960
4.290000; 252325.128979; 9861.884974
4.300000; 252423.747828; 7981.448290
4.310000; 252503.562311; 11145.754040
4.320000; 252615.019852; 10834.213474
4.330000; 252723.361986; 8934.700891
4.340000; 252812.708995; 8218.325186
4.350000; 252894.892247; 8617.187593
4.360000; 252981.064123; 7049.405212
4.370000; 253051.558175; 5287.124330
4.380000; 253104.429419; 12977.699830
4.390000; 253234.206417; 14480.368389
4.400000; 253379.010101; 15204.108279
4.410000; 253531.051184; 20393.211227
4.420000; 253734.983296; 21502.900476
4.430000; 253950.012301; 20681.213416
4.440000; 254156.824435; 23184.534934
4.450000; 254388.669784; 25206.592500
4.460000; 254640.735709; 25885.613371
4.470000; 254899.591843; 20834.369104
4.480000; 255107.935534; 21352.164380
4.490000; 255321.457178; 15844.289037
4.500000; 255479.900068; 13618.252078
4.510000; 255616.082589; 15306.367719
4.520000; 255769.146266; 13791.770205
4.530000; 255907.063968; 17578.293360
4.540000; 256082.846902; 12898.184129
4.550000; 256211.828743; 10306.585300
4.560000; 256314.894596; 12921.929643
4.570000; 256444.113892; 13650.643904
4.580000; 256580.620331; 13989.226379
4.590000; 256720.512595; 9863.847310
4.600000; 256819.151068; 4207.576314
4.610000; 256861.226831; 11990.485159
