# tau [ps];  MSD [pm^2];  Derivative
1.210000; 381785.456935; 122677.175707
1.220000; 383012.228692; 123944.188969
1.230000; 384251.670582; 124074.158276
1.240000; 385492.412164; 123103.054067
1.250000; 386723.442705; 123188.526615
1.260000; 387955.327971; 117776.528914
1.270000; 389133.093260; 115373.730470
1.280000; 390286.830565; 108784.992663
1.290000; 391374.680492; 111554.097916
1.300000; 392490.221471; 110765.478662
1.310000; 393597.876257; 112019.272409
1.320000; 394718.068982; 113901.718238
1.330000; 395857.086164; 116356.115567
1.340000; 397020.647320; 118564.458629
1.350000; 398206.291906; 117856.585415
1.360000; 399384.857760; 116239.481042
1.370000; 400547.252570; 117826.855877
1.380000; 401725.521129; 115375.379772
1.390000; 402879.274927; 114616.668162
1.400000; 404025.441609; 117100.949732
1.410000; 405196.451106; 119986.721069
1.420000; 406396.318317; 118285.411100
1.430000; 407579.172428; 121810.747825
1.440000; 408797.279906; 122623.302116
1.450000; 410023.512927; 120206.701191
1.460000; 411225.579939; 114316.279614
1.470000; 412368.742735; 114023.528471
1.480000; 413508.978020; 116165.838823
1.490000; 414670.636408; 116852.005410
1.500000; 415839.156462; 113607.572942
1.510000; 416975.232192; 112843.555571
1.520000; 418103.667747; 112342.518307
1.530000; 419227.092930; 114714.415007
1.540000; 420374.237080; 114524.986500
1.550000; 421519.486945; 114625.009867
1.560000; 422665.737044; 111081.514119
1.570000; 423776.552185; 115708.062682
1.580000; 424933.632812; 113525.534252
1.590000; 426068.888155; 110465.971251
1.600000; 427173.547867; 112678.922059
1.610000; 428300.337088; 110122.086054
1.620000; 429401.557948; 111042.305544
1.630000; 430511.981004; 116456.688209
1.640000; 431676.547886; 114586.181905
1.650000; 432822.409705; 114833.450591
1.660000; 433970.744211; 114035.121789
1.670000; 435111.095429; 114042.264953
1.680000; 436251.518078; 111081.266652
1.690000; 437362.330745; 110305.016244
1.700000; 438465.380907; 108515.751296
1.710000; 439550.538420; 109609.102722
1.720000; 440646.629447; 110851.557214
1.730000; 441755.145019; 106420.549905
1.740000; 442819.350518; 106042.700464
1.750000; 443879.777523; 103932.953213
1.760000; 444919.107055; 105759.893853
1.770000; 445976.705994; 104589.200919
1.780000; 447022.598003; 111571.036170
1.790000; 448138.308365; 109333.672156
1.800000; 449231.645086; 113301.966732
1.810000; 450364.664754; 111608.255588
1.820000; 451480.747309; 108993.438648
1.830000; 452570.681696; 109182.082418
1.840000; 453662.502520; 110933.794753
1.850000; 454771.840468; 109901.419171
1.860000; 455870.854659; 111146.147715
1.870000; 456982.316136; 108648.423164
1.880000; 458068.800368; 107084.581844
1.890000; 459139.646187; 101175.390216
1.900000; 460151.400089; 99391.785673
1.910000; 461145.317945; 97892.406930
1.920000; 462124.242015; 99482.805796
1.930000; 463119.070073; 101959.189843
1.940000; 464138.661971; 101907.337270
1.950000; 465157.735344; 105131.339634
1.960000; 466209.048740; 105974.927922
1.970000; 467268.798019; 103640.681697
1.980000; 468305.204836; 103015.835175
1.990000; 469335.363188; 99982.610630
2.000000; 470335.189294; 97735.537965
2.010000; 471312.544674; 91779.637443
2.020000; 472230.341048; 90337.584020
2.030000; 473133.716889; 90573.460175
2.040000; 474039.451490; 91189.993107
2.050000; 474951.351421; 93337.031181
2.060000; 475884.721733; 94410.060422
2.070000; 476828.822337; 90354.193247
2.080000; 477732.364270; 90141.766976
2.090000; 478633.781940; 95006.660942
2.100000; 479583.848549; 94718.207509
2.110000; 480531.030624; 92845.447830
2.120000; 481459.485103; 96183.181872
2.130000; 482421.316921; 97433.075289
2.140000; 483395.647674; 96657.151613
2.150000; 484362.219190; 93417.637013
2.160000; 485296.395560; 90683.072912
2.170000; 486203.226289; 89493.782900
2.180000; 487098.164119; 87483.369444
2.190000; 487972.997813; 88688.642099
2.200000; 488859.884234; 90766.977752
2.210000; 489767.554011; 92415.231200
2.220000; 490691.706323; 91737.325938
2.230000; 491609.079583; 92853.130206
2.240000; 492537.610885; 91036.793858
2.250000; 493447.978823; 91378.305540
2.260000; 494361.761879; 91636.887972
2.270000; 495278.130759; 93207.092804
2.280000; 496210.201687; 93114.474673
2.290000; 497141.346433; 91283.989633
2.300000; 498054.186330; 90341.198740
2.310000; 498957.598317; 90862.622827
2.320000; 499866.224545; 87564.134032
2.330000; 500741.865886; 84966.631163
2.340000; 501591.532197; 80793.714370
2.350000; 502399.469341; 84323.129874
2.360000; 503242.700640; 85341.279239
2.370000; 504096.113432; 83801.238520
2.380000; 504934.125817; 84142.816623
2.390000; 505775.553984; 86222.280102
2.400000; 506637.776785; 83185.537410
2.410000; 507469.632159; 83614.500247
2.420000; 508305.777161; 84232.555070
2.430000; 509148.102712; 80994.953665
2.440000; 509958.052249; 80967.547952
2.450000; 510767.727728; 83783.641309
2.460000; 511605.564141; 85829.493327
2.470000; 512463.859074; 90512.249152
2.480000; 513368.981566; 88634.688331
2.490000; 514255.328449; 85979.876914
2.500000; 515115.127218; 81394.550170
2.510000; 515929.072720; 80797.589468
2.520000; 516737.048615; 82639.367824
2.530000; 517563.442293; 82759.190539
2.540000; 518391.034198; 84338.391093
2.550000; 519234.418109; 79542.681235
2.560000; 520029.844922; 80540.367506
2.570000; 520835.248597; 77567.825214
2.580000; 521610.926849; 84815.090442
2.590000; 522459.077753; 85165.683510
2.600000; 523310.734588; 84721.965759
2.610000; 524157.954246; 84497.076068
2.620000; 525002.925007; 85481.828584
2.630000; 525857.743292; 85116.743550
2.640000; 526708.910728; 84546.459458
2.650000; 527554.375323; 82222.744046
2.660000; 528376.602763; 78887.726458
2.670000; 529165.480028; 79615.868542
2.680000; 529961.638713; 80671.611030
2.690000; 530768.354823; 81726.330779
2.700000; 531585.618131; 81278.167688
2.710000; 532398.399808; 79597.996751
2.720000; 533194.379776; 77989.386643
2.730000; 533974.273642; 77600.101568
2.740000; 534750.274658; 76709.499784
2.750000; 535517.369655; 74299.969910
2.760000; 536260.369355; 73616.477692
2.770000; 536996.534132; 77849.402836
2.780000; 537775.028160; 76055.435062
2.790000; 538535.582510; 81377.688605
2.800000; 539349.359397; 79811.895744
2.810000; 540147.478354; 80036.970560
2.820000; 540947.848060; 81598.575033
2.830000; 541763.833810; 78254.945693
2.840000; 542546.383267; 82237.042545
2.850000; 543368.753692; 80772.058593
2.860000; 544176.474278; 81606.828453
2.870000; 544992.542563; 78864.866758
2.880000; 545781.191230; 77119.658293
2.890000; 546552.387813; 74597.324843
2.900000; 547298.361062; 70621.689305
2.910000; 548004.577955; 72144.538037
2.920000; 548726.023335; 68295.812261
2.930000; 549408.981458; 66043.429843
2.940000; 550069.415756; 69305.098161
2.950000; 550762.466738; 68723.319608
2.960000; 551449.699934; 69317.123848
2.970000; 552142.871172; 69311.882885
2.980000; 552835.990001; 72627.574065
2.990000; 553562.265742; 77923.604138
3.000000; 554341.501783; 78395.365303
3.010000; 555125.455436; 78961.163609
3.020000; 555915.067072; 76396.856343
3.030000; 556679.035636; 76729.279446
3.040000; 557446.328430; 74644.498113
3.050000; 558192.773411; 72960.142612
3.060000; 558922.374837; 74650.398731
3.070000; 559668.878825; 75573.448786
3.080000; 560424.613313; 74893.369523
3.090000; 561173.547008; 75100.729418
3.100000; 561924.554302; 75299.449971
3.110000; 562677.548802; 75903.890293
3.120000; 563436.587705; 74874.427538
3.130000; 564185.331980; 74720.230960
3.140000; 564932.534290; 75448.117640
3.150000; 565687.015466; 77332.841550
3.160000; 566460.343882; 76795.010917
3.170000; 567228.293991; 77056.126844
3.180000; 567998.855259; 77712.921347
3.190000; 568775.984473; 77395.869880
3.200000; 569549.943171; 76574.980236
3.210000; 570315.692974; 73138.559241
3.220000; 571047.078566; 75026.542417
3.230000; 571797.343990; 73532.154814
3.240000; 572532.665538; 69993.205025
3.250000; 573232.597589; 66273.161955
3.260000; 573895.329208; 65222.650829
3.270000; 574547.555717; 64563.319248
3.280000; 575193.188909; 67663.282435
3.290000; 575869.821733; 70086.430671
3.300000; 576570.686040; 68186.252470
3.310000; 577252.548565; 72142.286744
3.320000; 577973.971432; 69830.349342
3.330000; 578672.274926; 71842.533948
3.340000; 579390.700265; 68717.141185
3.350000; 580077.871677; 64074.872267
3.360000; 580718.620400; 63585.923998
3.370000; 581354.479640; 64227.744455
3.380000; 581996.757084; 65418.198453
3.390000; 582650.939069; 64289.445558
3.400000; 583293.833524; 65461.223191
3.410000; 583948.445756; 60747.159618
3.420000; 584555.917352; 57509.817622
3.430000; 585131.015529; 59981.420921
3.440000; 585730.829738; 60440.669725
3.450000; 586335.236435; 61200.616325
3.460000; 586947.242598; 62287.803601
3.470000; 587570.120634; 63082.763611
3.480000; 588200.948270; 62530.421715
3.490000; 588826.252488; 60954.731439
