#time (ps)	H2O
13.85	9.99843092783505E-6
13.825	-7.77017869415807E-5
13.8	2.21526350515464E-5
13.775	7.31830034364261E-5
13.75	-1.06472542955326E-4
13.725	-9.14249965635739E-5
13.7	2.53971250859106E-5
13.675	-9.19038006872852E-6
13.65	2.25527010309278E-5
13.625	-4.71109140893471E-6
13.6	2.3730960137457E-5
13.575	9.97468934707904E-5
13.55	-2.50949065292096E-5
13.525	1.83033051546392E-4
13.5	8.7216E-5
13.475	7.73583917525773E-5
13.45	7.51832577319588E-5
13.425	1.48425993127148E-4
13.4	-5.52316089347079E-5
13.375	3.64131910652921E-5
13.35	1.25717092783505E-4
13.325	-2.59625030927835E-5
13.3	1.10334969072165E-5
13.275	1.51896371134021E-5
13.25	-5.46659312714777E-6
13.225	1.3859304467354E-5
13.2	-8.07976151202749E-5
13.175	-8.86943986254296E-5
13.15	-1.83254405498282E-4
13.125	-2.5908658419244E-4
13.1	-1.80839725085911E-4
13.075	-1.77841656357388E-4
13.05	-2.39116446735395E-4
13.025	-3.26196048109966E-4
13	-1.5055812371134E-4
12.975	-7.65834226804124E-5
12.95	-1.00211003436426E-5
12.925	1.11762749140893E-5
12.9	1.14925525773196E-5
12.875	1.43392336769759E-4
12.85	1.67548474226804E-4
12.825	1.51347223367698E-4
12.8	2.72976907216495E-4
12.775	2.07507615120275E-4
12.75	1.85586776632302E-4
12.725	1.76540164948454E-4
12.7	1.36340295532646E-4
12.675	1.41482E-4
12.65	1.19207896907216E-4
12.625	-4.29025704467354E-6
12.6	-2.86908192439863E-5
12.575	-6.81862254295533E-5
12.55	1.49706254295533E-6
12.525	6.79631663230241E-5
12.5	6.83632927835051E-5
12.475	4.04788810996564E-5
12.45	2.7217839862543E-5
12.425	7.09423642611684E-5
12.4	4.25149972508591E-5
12.375	6.71941615120275E-5
12.35	-7.32648178694158E-5
12.325	-8.42722542955326E-5
12.3	-8.53896563573883E-5
12.275	-1.12122178694158E-4
12.25	6.2982418556701E-5
12.225	-6.06944329896907E-5
12.2	-1.28571285223368E-4
12.175	2.88618329896907E-5
12.15	1.30587044673539E-4
