time (ps)	Na2CO3 / 0.25M	time (ps)	Na2CO3 / 0.1M
-3.885	-9.94313522857143E-5	13.425	-1.01774225142857E-4
-3.86	-7.46963322857143E-5	13.4	-6.73229141428572E-5
-3.835	-1.02749564285714E-4	13.375	-4.53298443428571E-5
-3.81	-1.72101536114286E-4	13.35	-7.13428240285714E-5
-3.785	-2.70719286914286E-4	13.325	-6.87066200571428E-5
-3.76	-6.31745872571428E-5	13.3	-6.35341598571429E-5
-3.735	8.63903245714286E-5	13.275	-7.03265599E-5
-3.71	1.27935809428571E-4	13.25	-4.34792094457143E-5
-3.685	1.38322659428571E-4	13.225	-1.28127554371429E-5
-3.66	-3.54485268571428E-5	13.2	2.53229359257143E-5
-3.635	-1.83168633571429E-4	13.175	5.52236197857143E-5
-3.61	-1.67172558542857E-4	13.15	9.08788149428571E-5
-3.585	-1.75836943514286E-4	13.125	9.3662213E-5
-3.56	-2.35393119057143E-4	13.1	5.66001885714286E-5
-3.535	-2.978567866E-4	13.075	-1.08314031428571E-5
-3.51	-3.64204034714286E-4	13.05	-3.08566788E-5
-3.485	-5.27262648E-4	13.025	-4.56605978285714E-5
-3.46	-5.22079071428571E-4	13	-1.12507494285714E-5
-3.435	-4.46918904857143E-4	12.975	-1.61898698285714E-5
-3.41	-3.82485874857143E-4	12.95	-8.03925559999998E-6
-3.385	-3.66863640857143E-4	12.925	-2.54241473714286E-5
-3.36	-2.84183665428571E-4	12.9	-1.66192821428571E-5
-3.335	-4.32335970857143E-4	12.875	4.7793064E-6
-3.31	-5.77870391714286E-4	12.85	7.25713619999999E-6
-3.285	-6.44567245142857E-4	12.825	-1.51982638857143E-5
-3.26	-7.20002478285714E-4	12.8	1.08884831428571E-5
-3.235	-8.26713771428571E-4	12.775	3.97925158285714E-5
-3.21	-7.23546640428571E-4	12.75	2.84251267714285E-5
-3.185	-4.970374024E-4	12.725	3.20321045428571E-5
-3.16	-3.19691342771428E-4	12.7	1.90261492857143E-5
-3.135	-1.313651304E-4	12.675	3.98973724285714E-5
-3.11	-4.59056744285714E-5	12.65	7.66867042857143E-5
-3.085	-2.58195751885714E-4	12.625	1.12234074714286E-4
-3.06	-3.59418519085714E-4	12.6	4.76388786285714E-5
-3.035	-2.42963591885714E-4	12.575	-2.44021264E-5
-3.01	-2.02476591714286E-4	12.55	-8.47952879428571E-5
-2.985	-1.6844051E-4	12.525	-1.13673344257143E-4
-2.96	-1.90948108E-4	12.5	-9.05188811714286E-5
-2.935	-4.61294946E-4	12.475	-3.94141171428568E-7
-2.91	-6.27724306E-4	12.45	4.86364023142857E-5
-2.885	-5.75467204857143E-4	12.425	8.44398162857143E-5
-2.86	-5.12609856285714E-4	12.4	8.63944228285714E-5
-2.835	-3.17102466571429E-4	12.375	6.85189123714286E-5
-2.81	-5.14479302857143E-5	12.35	4.32695502857142E-6
-2.785	1.06316471428571E-5	12.325	-2.91209246285714E-5
-2.76	1.06373731428571E-5	12.3	-3.70855868571429E-6
-2.735	7.13197737142857E-5	12.275	6.51562937428571E-5
-2.71	-6.49993362857143E-5	12.25	1.22646136914286E-4
-2.685	-6.90993514285714E-5	12.225	1.62738124171429E-4
-2.66	9.91220634285714E-5	12.2	1.37302030817143E-4
-2.635	4.04445468571428E-5	12.175	3.164643508E-5
-2.61	-6.56501125714285E-5	12.15	-5.11713593257143E-5
-2.585	7.42892314285714E-6	12.125	-1.02961416314286E-4
-2.56	-7.24333198571428E-5	12.1	-1.264321296E-4
-2.535	-1.34767330742857E-4	12.075	-9.36599120571429E-5
-2.51	-6.93725426571428E-5	12.05	-4.3771403E-5
-2.485	-2.11739709371429E-4	12.025	8.17853942857143E-7
-2.46	-3.82402004885714E-4	12	4.56896536857143E-5
-2.435	-4.02220114057143E-4	11.975	6.73031774E-5
-2.41	-3.85457429714286E-4	11.95	5.46137922285714E-5
-2.385	-4.10332743428571E-4	11.925	3.95170850571429E-5
-2.36	-3.41045541142857E-4	11.9	9.210857E-6
-2.335	-3.03553669714286E-4	11.875	-1.66826294571429E-5
-2.31	-2.67375762142857E-4	11.85	-7.30494569142857E-5
-2.285	-1.89301545771429E-4	11.825	-1.45753487085714E-4
-2.26	-1.22082799171429E-4	11.8	-1.92117317E-4
-2.235	-1.38263209314286E-4	11.775	-1.78701345857143E-4
-2.21	-1.97433433342857E-4	11.75	-1.10668450285714E-4
-2.185	-2.731622444E-4	11.725	-1.41192655714286E-5
-2.16	-2.83805859157143E-4	11.7	7.81907817142857E-5
-2.135	-2.51541623194286E-4	11.675	8.07875698571428E-5
-2.11	-7.12703519114286E-5	11.65	8.07331048571429E-5
-2.085	1.25946144057143E-5	11.625	3.76466725714285E-5
-2.06	-2.22115859571429E-5	11.6	1.3305613E-5
-2.035	3.32576884285714E-5	11.575	-2.63445966285714E-5
-2.01	3.61160114285714E-5	11.55	-5.42839434571428E-5
-1.985	-4.78008574285714E-5	11.525	-3.56206014857143E-5
-1.96	3.65208677142857E-5	11.5	7.27409915714286E-5
-1.935	-1.13983438285714E-4	11.475	1.91487842285714E-4
-1.91	-4.50978721142857E-4	11.45	2.76015558857143E-4
-1.885	-4.96889295714286E-4	11.425	3.02841087771429E-4
-1.86	-4.16959003142857E-4	11.4	2.43333544742857E-4
-1.835	-3.61438235428571E-4	11.375	1.70395560242857E-4
-1.81	-1.14405814428571E-4	11.35	1.04241829697143E-4
-1.785	-9.87429414285714E-5	11.325	8.49250955342857E-5
-1.76	-2.36967022428571E-4	11.3	5.84219371257143E-5
-1.735	-3.3396922E-4	11.275	5.17650206142857E-5
-1.71	-2.82790800428571E-4	11.25	5.95971490857143E-5
-1.685	-2.21734881857143E-4	11.225	8.41149403714286E-5
-1.66	-5.75111185714285E-5	11.2	9.02638327428571E-5
-1.635	4.28188742857143E-5	11.175	3.59317288171428E-5
-1.61	8.08572723428571E-5	11.15	-4.54778905485714E-5
-1.585	6.80483538285714E-5	11.125	-1.03841763868571E-4
-1.56	8.95459788571428E-6	11.1	-9.72775616857143E-5
-1.535	-2.66725167628571E-4	11.075	-3.9948008E-5
-1.51	-4.15804782E-4	11.05	2.60376952571429E-5
-1.485	-3.23213930971428E-4	11.025	1.77654613714286E-5
-1.46	-3.48558423485714E-4	11	-1.64916145142857E-5
-1.435	-3.66932278971428E-4	10.975	-1.85607179142857E-5
-1.41	-2.41899050857143E-4	10.95	2.55542630285714E-5
-1.385	-3.65162049428571E-4	10.925	7.15860784E-5
-1.36	-5.36062209428571E-4	10.9	1.19310572857143E-4
-1.335	-3.58884561428571E-4	10.875	1.56904334971429E-4
