#time (ps)	MgSO4 /1M	time (ps)	MgSO4 /2M
11.025	1.34876006872852E-4	6.23249299719888	-3.52159017182131E-5
11	6.29056082474227E-6	6.21848739495798	2.83509237113402E-5
10.975	4.16150762886598E-5	6.20448179271709	1.2374793814433E-5
10.95	4.43430295532646E-5	6.19047619047619	-1.04714735395189E-4
10.925	1.17953773195876E-5	6.17647058823529	1.76830144329897E-5
10.9	-5.03584556701031E-5	6.1624649859944	-1.61463560137457E-4
10.875	-6.87878969072165E-5	6.1484593837535	4.07548089347079E-5
10.85	-2.02199457044674E-4	6.1344537815126	-8.09003573883161E-5
10.825	-7.82309553264605E-5	6.12044817927171	-6.08971072164948E-5
10.8	-1.71738054982818E-4	6.10644257703081	-2.11733030927835E-4
10.775	-9.55434364261168E-5	6.09243697478992	-1.43521532646048E-4
10.75	3.50202556701031E-5	6.07843137254902	-1.68852989690722E-4
10.725	-1.14095786941581E-4	6.06442577030812	-2.09984446735395E-4
10.7	2.4678218556701E-5	6.05042016806723	-1.42093731958763E-5
10.675	-1.50596577319588E-4	6.03641456582633	-1.64171072164948E-4
10.65	-9.60127010309278E-6	6.02240896358543	2.42943161512028E-6
10.625	5.31246206185567E-5	6.00840336134454	2.89577704467354E-5
10.6	1.48440206185567E-4	5.99439775910364	-1.67493271477663E-4
10.575	3.29654068728522E-5	5.98039215686275	3.07787058419244E-5
10.55	1.11400927835052E-5	5.96638655462185	-9.3456529209622E-5
10.525	-9.30659793814433E-5	5.95238095238095	2.18903621993127E-5
10.5	5.99836268041237E-5	5.93837535014006	-1.47063869415808E-5
10.475	-5.03549965635739E-6	5.92436974789916	-5.88673965635739E-5
10.45	-1.34676865979381E-5	5.91036414565826	8.74636907216495E-5
10.425	1.42533917525773E-5	5.89635854341737	5.53635670103093E-6
10.4	4.9568975257732E-5	5.88235294117647	-1.15331182130584E-4
10.375	7.8980089347079E-5	5.86834733893557	3.40452652920962E-5
10.35	-1.76280426116839E-5	5.85434173669468	-7.84250240549828E-5
10.325	-2.91055869415808E-5	5.84033613445378	-5.76032137457045E-5
10.3	-9.41337731958763E-6	5.82633053221289	-1.09722302405498E-4
10.275	1.28099457044674E-4	5.81232492997199	-1.70231079037801E-4
10.25	-4.06310103092784E-5	5.79831932773109	-1.39679367697595E-4
10.225	-4.53209285223368E-5	5.7843137254902	-6.11873195876289E-6
10.2	7.70187010309278E-5	5.7703081232493	-9.73429690721649E-5
10.175	-1.03409347079038E-6	5.7563025210084	4.12382879725086E-5
10.15	-9.57906804123711E-5	5.74229691876751	-8.87344054982818E-5
10.125	-3.70833450171821E-5	5.72829131652661	-8.84445567010309E-5
10.1	-5.18736054982818E-5	5.71428571428571	-6.5398695532646E-5
10.075	-4.53731443298969E-5	5.70028011204482	-1.14466920962199E-4
10.05	-8.70163298969072E-5	5.68627450980392	6.13961243986254E-5
10.025	-2.78321972508591E-6	5.67226890756303	-4.21325848797251E-5
10	-1.7115747766323E-5	5.65826330532213	-1.03719711340206E-4
9.975	4.19021051546392E-6	5.64425770308123	-5.13047745704467E-5
9.95	4.01387835051546E-5	5.63025210084034	-7.16293608247423E-5
9.925	-6.86385182130584E-6	5.61624649859944	9.73608316151203E-5
9.9	-1.92315278350515E-4	5.60224089635854	-2.06571993127148E-4
9.875	-3.9713787628866E-5	5.58823529411765	-2.13232027491409E-6
9.85	-3.17074865979381E-5	5.57422969187675	-1.79400542955326E-4
9.825	-5.89740357388316E-5	5.56022408963586	-1.13134749140893E-4
9.8	1.11138109965636E-4	5.54621848739496	-1.35143189003436E-5
9.775	2.63032501718213E-6	5.53221288515406	-1.33202474226804E-4
9.75	3.85380872852234E-6	5.51820728291317	-2.19146302405498E-4
9.725	-4.35900591065292E-5	5.50420168067227	-4.07698570446735E-5
9.7	-1.4984904467354E-4	5.49019607843137	-8.61899725085911E-5
9.675	-2.64276281786942E-5	5.47619047619048	2.28819195876289E-6
9.65	-9.69142817869416E-6	5.46218487394958	-1.47661134020619E-4
9.625	5.91753518900344E-5	5.44817927170868	-5.5976781443299E-5
9.6	-1.54829436426117E-5	5.43417366946779	-4.66718144329897E-5
9.575	1.60583333333333E-6	5.42016806722689	-1.42613580756014E-4
9.55	-1.36161745704467E-4	5.40616246498599	-4.52041422680412E-5
9.525	-2.76468556701031E-5	5.3921568627451	-8.98215051546392E-5
9.5	-3.51835072164948E-5	5.3781512605042	-8.41859518900344E-5
9.475	-2.69242845360825E-5	5.3641456582633	-1.00949711340206E-4
9.45	1.15988591065292E-5	5.35014005602241	-2.19468109965636E-4
9.425	-5.19164872852234E-5	5.33613445378151	-1.00021560137457E-4
9.4	-1.19875821305842E-4	5.32212885154062	-5.72499243986254E-5
9.375	-1.26997587628866E-5	5.30812324929972	-8.99057800687285E-5
9.35	-5.22769608247423E-5	5.29411764705882	4.08789127147766E-5
9.325	-6.03716900343643E-5	5.28011204481793	-7.58449828178694E-5
9.3	-8.21055945017182E-5	5.26610644257703	-5.93145828178694E-5
9.275	-1.05877986254296E-4	5.25210084033613	-8.49216426116838E-5
9.25	-8.0652439862543E-5	5.23809523809524	-1.85862721649485E-4
9.225	-6.28358254295533E-5	5.22408963585434	-8.46134226804124E-5
9.2	-3.46583890034364E-5	5.21008403361345	-5.01455656357388E-5
9.175	-1.02016350515464E-4	5.19607843137255	-8.03010790378007E-5
9.15	-4.16162316151203E-5	5.18207282913165	-1.08843525773196E-4
9.125	-4.3250476975945E-5	5.16806722689076	-5.80728934707904E-6
9.1	5.90197457044673E-5	5.15406162464986	-2.15496130584192E-4
9.075	1.73593793814433E-5	5.14005602240896	-1.99047518900344E-4
9.05	1.98316632302405E-5	5.12605042016807	-5.37865388316151E-5
9.025	2.7110129209622E-5	5.11204481792717	-1.12786034364261E-4
9	1.21694432989691E-4	5.09803921568627	-2.00685189003436E-4
8.975	1.17193525773196E-4	5.08403361344538	-8.73114914089347E-5
8.95	-7.90807422680412E-6	5.07002801120448	-7.21900274914089E-5
8.925	2.52002006872852E-4	5.05602240896359	2.56565209621993E-5
8.9	1.55817243986254E-4	5.04201680672269	-5.15422886597938E-5
8.875	2.28628350515464E-4	5.02801120448179	8.3620412371134E-5
8.85	2.79201676975945E-4	5.0140056022409	-1.65165422680412E-5
8.825	3.12378419243986E-4	5	2.25414542955326E-4
8.8	2.70101560137457E-4	4.9859943977591	1.67946316151203E-4
8.775	7.93937800687285E-5	4.97198879551821	1.24927580756014E-4
8.75	2.97171216494845E-4	4.95798319327731	1.40844233676976E-4
8.725	7.63596494845361E-5	4.94397759103641	1.57996625429553E-4
8.7	-1.47302701030928E-5	4.92997198879552	-1.06748089347079E-6
8.675	-3.36002570446735E-5	4.91596638655462	6.46539848797251E-5
8.65	-1.58963024054983E-4	4.90196078431373	-8.61699037800687E-6
8.625	-1.42494178694158E-4	4.88795518207283	-1.68742261168385E-4
8.6	-1.38160041237113E-4	4.87394957983193	-2.27201553264605E-4
8.575	-8.60540824742268E-5	4.85994397759104	-2.52010673539519E-4
8.55	-1.31534384879725E-4	4.84593837535014	-2.73043161512027E-4
8.525	-1.28258659793814E-4	4.83193277310924	-3.16604859106529E-4
8.5	4.08303890034364E-6	4.81792717086835	-3.10338378006873E-4
8.475	-1.43254989690722E-4	4.80392156862745	-2.89509697594502E-4
8.45	-1.0070710652921E-4	4.78991596638656	-2.06654900343643E-4
8.425	-1.06291182130584E-4	4.77591036414566	-7.3989793814433E-5
8.4	-2.42835044673539E-5	4.76190476190476	-1.39762481099656E-4
8.375	-7.81514295532646E-5	4.74789915966387	-1.18240329896907E-4
8.35	-4.91829250859107E-5	4.73389355742297	-2.47916116838488E-4
8.325	-4.13580659793814E-5	4.71988795518207	-1.74621457044674E-4
8.3	1.96537347079038E-5	4.70588235294118	-1.06308240549828E-4
8.275	-9.60719243986254E-5	4.69187675070028	-1.40388838487972E-4
8.25	-3.10360632302405E-5	4.67787114845938	-1.28951910652921E-4
8.225	-4.41026130584192E-5	4.66386554621849	-6.72941718213058E-6
8.2	4.44191546391753E-5	4.64985994397759	-1.0284987628866E-4
8.175	-5.1153239862543E-5	4.6358543417367	-6.17634652920962E-5
8.15	-1.39564804123711E-4	4.6218487394958	-5.31993883161512E-5
8.125	-9.79055807560137E-5	4.6078431372549	-1.12083422680412E-4
8.1	-1.03660790378007E-4	4.59383753501401	-1.72944776632302E-4
8.075	-3.62905821305842E-6	4.57983193277311	-3.97298405498282E-5
8.05	7.4040501718213E-6	4.56582633053221	-8.73856975945017E-5
8.025	3.25361271477663E-5	4.55182072829132	-1.43525395189003E-4
8	1.03655140893471E-4	4.53781512605042	-9.30767835051546E-5
7.975	1.23424336769759E-4	4.52380952380952	-9.10879656357388E-5
7.95	3.04643127147766E-5	4.50980392156863	-1.96855848797251E-4
7.925	8.11256013745704E-5	4.49579831932773	-8.0966E-5
7.9	4.90322453608247E-5	4.48179271708683	-1.00573745704467E-4
7.875	-2.39291525773196E-5	4.46778711484594	3.46686783505155E-5
7.85	4.00276687285223E-5	4.45378151260504	-1.03954872852234E-4
7.825	6.61521848797251E-5	4.43977591036415	-1.92931690721649E-4
7.8	-9.24277663230241E-5	4.42577030812325	3.94447553264605E-5
7.775	-2.15565793814433E-4	4.41176470588235	-1.35503195876289E-4
7.75	-1.75210034364261E-5	4.39775910364146	-6.40497725085911E-5
7.725	-5.85291360824742E-5	4.38375350140056	-1.18855457044674E-4
7.7	2.05104948453608E-6	4.36974789915966	-2.28988975945017E-4
7.675	6.46621663230241E-5	4.35574229691877	-2.9763864604811E-4
7.65	-2.21263161512027E-6	4.34173669467787	-1.53086934707904E-4
7.625	-7.7162941580756E-6	4.32773109243697	-1.48519422680412E-4
7.6	-1.10311367697594E-4	4.31372549019608	-9.9839883161512E-5
7.575	-1.10892556701031E-5	4.29971988795518	-6.72517560137457E-5
7.55	2.24407567010309E-5	4.28571428571429	-1.38283553264605E-4
7.525	-6.39948639175258E-5	4.27170868347339	-2.05755903780069E-4
7.5	-2.45067725085911E-5	4.25770308123249	-1.8110729209622E-4
7.475	-1.50826034364261E-5	4.2436974789916	-1.81621567010309E-4
7.45	3.37855587628866E-5	4.2296918767507	-2.1329941580756E-4
7.425	4.94832701030928E-5	4.2156862745098	-2.49877608247423E-4
7.4	1.89871642611684E-5	4.20168067226891	-6.27623298969072E-5
7.375	3.09254268041237E-5	4.18767507002801	-3.37242240549828E-4
7.35	5.35028673539519E-6	4.17366946778712	2.42242412371134E-5
7.325	-5.44056109965636E-5	4.15966386554622	-1.51980068728522E-4
7.3	-1.99999931271478E-5	4.14565826330532	-2.04599773195876E-5
7.275	-7.82266804123711E-5	4.13165266106443	-1.98095896907216E-4
7.25	-3.57812041237113E-5	4.11764705882353	-2.1503147766323E-4
7.225	-2.06395065292096E-5	4.10364145658263	-9.80694639175258E-5
7.2	2.68128446735395E-5	4.08963585434174	-1.25012604810997E-4
7.175	-7.74049072164948E-5	4.07563025210084	-1.34379800687285E-4
7.15	-8.7707883161512E-5	4.06162464985994	-1.522095395189E-4
7.125	-3.82864591065292E-5	4.04761904761905	-1.60767113402062E-4
7.1	6.79926982817869E-5	4.03361344537815	-1.13347367697594E-4
7.075	-9.13893195876289E-5	4.01960784313725	-2.16875388316151E-4
7.05	-1.32855862542955E-4	4.00560224089636	-1.67138804123711E-4
7.025	1.14837037800687E-4	3.99159663865546	-1.75870261168385E-4
7	-8.0962852233677E-5	3.97759103641457	-2.01843642611684E-4
6.975	6.32434494845361E-5	3.96358543417367	-1.84954481099656E-4
6.95	-6.52395903780069E-5	3.94957983193277	-2.01261883161512E-4
6.925	-2.52650474226804E-4	3.93557422969188	-1.83314989690722E-4
6.9	-7.90689072164948E-5	3.92156862745098	-2.44876680412371E-4
6.875	-1.21248171821306E-4	3.90756302521008	-2.69861745704467E-4
6.85	7.59897457044674E-5	3.89355742296919	-1.4923375257732E-4
6.825	-8.30017388316151E-6	3.87955182072829	-1.78696481099656E-4
6.8	-2.27066384879725E-4	3.8655462184874	-2.13034810996564E-4
6.775	-3.8382412371134E-5	3.8515406162465	-1.37598570446735E-4
6.75	-9.73465567010309E-5	3.8375350140056	-3.63688103092784E-4
6.725	-1.47267408934708E-4	3.82352941176471	-2.13147395189003E-4
6.7	-9.0174501718213E-5	3.80952380952381	-1.82786756013746E-4
6.675	2.74318027491409E-5	3.79551820728291	-8.33250859106529E-5
6.65	-1.44794192439863E-5	3.78151260504202	-1.71873037800687E-4
6.625	6.46767127147766E-5	3.76750700280112	-3.91962453608247E-5
6.6	1.14178542955326E-4	3.75350140056022	5.66860432989691E-5
6.575	7.16473951890034E-5	3.73949579831933	-1.23177374570447E-4
6.55	1.05011085910653E-4	3.72549019607843	4.45763951890034E-5
6.525	2.41679017182131E-5	3.71148459383753	-2.64533450171821E-5
6.5	7.116664604811E-5	3.69747899159664	-1.58821910652921E-4
6.475	-4.39212116838488E-5	3.68347338935574	-1.12558865979381E-4
6.45	-3.05781381443299E-5	3.66946778711485	-1.29874515463918E-4
6.425	-1.31486618556701E-4	3.65546218487395	-2.3464239862543E-4
6.4	-6.00205154639175E-5	3.64145658263305	-3.03546364261168E-4
6.375	-9.98685085910653E-5	3.62745098039216	-2.38443457044674E-4
