#time (ps)	NaSO4 0.75 M	time (ps)	NaSO4 0.35 M
-1.15	1.48519930857143E-5	-1	-5.07408100571428E-5
-1.125	-9.86775977142857E-5	-0.975	-1.00515253171429E-4
-1.1	-2.14693329285714E-4	-0.95	-1.48861746628571E-4
-1.075	-2.92954447942857E-4	-0.925	-1.263309404E-4
-1.05	-3.14588541228571E-4	-0.9	-6.09740196571428E-5
-1.025	-2.81081056E-4	-0.875	3.65988552E-6
-1	-3.743849014E-4	-0.85	-6.75334475428574E-6
-0.975	-3.76178249428571E-4	-0.825	-1.0041050248E-4
-0.95	-3.03138877E-4	-0.8	-1.21257894228571E-4
-0.925	-3.25786516685714E-4	-0.775	-1.09781563571429E-4
-0.9	-2.70774209628571E-4	-0.75	-8.65534841714286E-5
-0.875	-1.97617988157143E-4	-0.725	2.39581315714285E-5
-0.85	-1.95277846554286E-4	-0.7	3.51259088E-5
-0.825	-1.60298288248571E-4	-0.675	-2.57607297714286E-5
-0.8	-3.43083322685714E-5	-0.65	-1.12203324E-5
-0.775	-1.07128944042857E-4	-0.625	-3.36403295714286E-5
-0.75	-1.49284321857143E-4	-0.6	-1.54721855371429E-4
-0.725	-1.51666351357143E-4	-0.575	-2.14946761514286E-4
-0.7	-8.66499828E-5	-0.55	-1.82437675714286E-4
-0.675	-8.88035985999999E-6	-0.525	-1.09158933142857E-4
-0.65	1.46637110462857E-4	-0.5	4.90076028571428E-5
-0.625	9.64572248828571E-5	-0.475	2.00611858857143E-4
-0.6	1.46732083971429E-4	-0.45	2.4663485E-4
-0.575	2.30832359428571E-4	-0.425	2.99284433428571E-4
-0.55	1.31786654857143E-4	-0.4	4.48530983142857E-4
-0.525	1.55546309714286E-4	-0.375	5.86597462857143E-4
-0.5	2.11912890428571E-4	-0.35	7.98215334571428E-4
-0.475	5.08369401714286E-5	-0.325	9.39774857428571E-4
-0.45	-2.42277730571429E-5	-0.3	0.00109670380057143
-0.425	4.93074584571428E-5	-0.275	0.00128370609514286
