(ps) MgCl2
-2.254 5.88639599999997E-5
-2.229 9.56251200000008E-5
-2.20399999999999 1.85138748E-4
-2.179 8.60924400000074E-6
-2.15399999999999 1.070562E-4
-2.12900000000002 -1.5263814E-4
-2.104 1.09821084E-4
-2.07899999999999 1.24560804E-4
-2.05400000000001 -1.08263039999999E-5
-2.02899999999999 -1.51831320000002E-5
-2.00400000000002 4.79983320000005E-5
-1.97900000000001 1.13757552E-4
-1.95399999999999 1.35643392E-4
-1.92900000000001 7.60593960000004E-5
-1.90400000000001 -1.35464399999999E-4
-1.87899999999999 4.49378400000048E-6
-1.85400000000001 -5.04445559999996E-5
-1.829 8.48991600000004E-5
-1.80399999999998 -1.70584799999951E-6
-1.77900000000001 4.48795320000002E-5
-1.754 1.98686544E-4
-1.72900000000001 1.33174116000001E-4
-1.704 9.47111760000002E-5
-1.679 2.63647080000001E-5
-1.65400000000001 5.11049280000002E-5
-1.629 -6.68901239999998E-5
-1.60400000000001 -7.08455760000002E-5
-1.579 4.06976280000002E-5
-1.554 1.55808468000001E-4
-1.52900000000001 3.71869440000004E-5
-1.504 -3.09520560000001E-5
-1.47899999999999 -7.95416039999999E-5
-1.454 2.85031200000001E-5
-1.429 -2.67823559999996E-5
-1.40400000000001 -8.88166439999996E-5
-1.379 -4.49432639999996E-5
-1.35399999999999 -3.53224439999997E-5
-1.329 -5.04825239999996E-5
-1.304 8.8709520000006E-6
-1.27899999999999 1.57443804E-4
-1.254 1.36560048E-4
-1.22899999999999 1.92154692E-4
-1.20400000000002 7.0879476E-5
-1.179 9.49267800000002E-5
-1.15399999999999 -1.50137676E-4
-1.129 1.80384612E-4
-1.10399999999999 1.17448584E-4
-1.07899999999999 4.99401240000005E-5
-1.05400000000001 7.60621080000001E-5
-1.02899999999999 1.6899828E-4
-1.00400000000001 5.58346560000005E-5
-0.978999999999995 9.32060160000003E-5
-0.953999999999989 4.18136160000003E-5
-0.929000000000012 5.59038120000006E-5
-0.904000000000006 -8.64870359999996E-5
-0.878999999999986 -9.7016376E-5
-0.854000000000009 -6.64751879999994E-5
-0.828999999999989 9.51111960000002E-5
